Start,End,midLat,midLong
Aberavon,Southgate,51.59,-3.968
Acre Nook Sand Quarry,Rudyard Reservoir,53.192,-2.178
Add Estuary,Loch Gilp,56.044,-5.487
Aird an Runair,Baleshare,57.57,-7.45
Aird an Runair,Solas,57.627,-7.447
Airport,Salakee,49.915,-6.291
Alaw Estuary,Inland Sea,53.295,-4.568
Aldeburgh,Southwold,52.24,1.642
Alkborough Flats,Blacktoft Sands,53.697,-0.701
Alton Water,Trimley Marshes,51.981,1.206
Ashington,Cresswell Pond,55.209,-1.557
Askernish,Kilpheder,57.169,-7.396
Askernish,Loch na Liana Moire,57.193,-7.407
Balbriggan,Skerries,53.595,-6.138
Balgedie,Loch Leven,56.208,-3.359
Ballinoe,Loch a'Phuill,56.473,-6.932
Ballyconnell,Cullamore,54.363,-8.647
Ballyconnell,Lissadell,54.354,-8.618
Ballyconnell,Raghly Point,54.342,-8.65
Ballyshunnock Reservoir,Knockaderry Reservoir,52.223,-7.306
Ballyvergan,Ballycotton,51.886,-7.947
Baltasound,Baliasta,60.763,-0.875
Baltasound,Haroldswick,60.775,-0.847
Baltasound,Skaw,60.793,-0.828
Barleycroft Gravel Pits,Fen Drayton,52.325,-0.017
Barnaby Lane,Big Pool,49.894,-6.345
Bay of Sandoyne,Backakelday,58.907,-2.936
Bay of Sandoyne,Loch of Ayre,58.899,-2.927
Beesands Ley,Slapton Ley,50.268,-3.655
Beinn Udlaidh,Beinn Bhreac-liath,56.463,-4.775
Belfast Lough,Belfast North Foreshore,54.669,-5.842
Belvide Reservoir,Blithfield Reservoir,54.252,-2.055
Bembridge,Foreland,50.685,-1.092
Bempton,Hunmanby Gap,54.163,-0.218
Beorgs o Uyea,Ronas Hill,60.561,-1.416
Ardmore (Ireland),Whiting Bay,51.952,-7.749
Avoch,Munlochy Bay,57.556,-4.198
Bere Regis,Wareham,50.721,-2.161
Blairmore,Sandwood Bay,58.515,-5.073
Cairngorm,Ben Macdui,57.071,-3.64
Crail,Wormiston,56.269,-2.624
East Ilsley,Blewbury,51.547,-1.262
Horsey,Waxham,52.763,1.63
Instow,Yelland,51.062,-4.166
Lamorna,Mousehole,50.075,-5.555
Margate,Broadstairs,51.373,1.411
Port St Mary,Port Erin,54.081,-4.748
Skelberry,Boddam,60.138,-1.218
Snape,Sudbourne,52.146,1.513
Stone Cliff,Iden,50.994,0.745
Warminster,Shaftesbury,51.105,-2.189
Whalsay,Fetlar (general),60.479,-0.92
Big Pool,Porth Hellick,49.907,-6.318
Bryher Pool,Stinking Porth,49.952,-6.36
Birsay,Evie,59.128,-3.199
Black Down,Blagdon Lake,51.324,-2.721
Black Rock Strand,Carrahane Strand,52.344,-9.838
Blacktoft Sands,Edderthorpe Flash,53.629,-1.053
Blanket Nook,Montgorry Hill,54.954,-7.564
Blashford Lakes,Hamer Warren,50.884,-1.802
Blennerville,Castlegregory,52.258,-9.875
Bolton-on-Swale,Scorton Quarry,54.387,-1.631
Bornish,Balranald,57.425,-7.463
Bowling Green Marsh,Exminster Marshes,50.678,-3.467
Brandon Marsh,Draycote Water,52.353,-1.379
Branscombe,Beer Head,50.689,-3.116
Breydon Water,Berney Marshes,52.596,1.661
Breydon Water,Burgh Castle,52.597,1.672
Bridgend Farm,Carbarns Pool,55.859,-4.048
Brighstone Bay,Atherfield,50.622,-1.38
Brockhampton,Budds Sewage Farm,50.846,-0.995
Broomhill Flash,Wombwell Ings,53.524,-1.375
Brough Lodge,Oddsta,60.62,-0.939
Browarth,Coastguards,49.895,-6.348
Bryher (general),Old Grimsby,49.957,-6.344
Bryher (general),St Mary's (general),49.937,-6.327
Bryher (general),Tresco (general),49.954,-6.343
Budle Bay,Fenham Flats,55.63,-1.802
Burnham Norton,Titchwell,52.965,0.665
Burrafirth,Uyeasound,60.745,-0.899
Burravoe (Yell),Fetlar (general),60.551,-0.956
Burry Inlet,Morfa Baccas,51.66,-4.101
Burton Mere,Weaver Bend,53.283,-2.879
Butt of Lewis,Loch Stiapabhat,58.506,-6.252
Caerlaverock,Mersehead,54.931,-3.605
Cairngorm,Ben Macdui,57.071,-3.64
Camel Estuary,Walmsley Sanctuary,50.535,-4.862
Cantley,Breydon Water,52.592,1.595
Cantley,Hardley Flood,52.56,1.508
Cape Cornwall,Kenidjack Valley,50.133,-5.698
Cardiff Bay,Cosmeston Lakes,51.436,-3.177
Carn Friars,Lunnon,49.92,-6.285
Carn Gwaval,Dump (St Mary's),49.914,-6.306
Carn Leh,Old Town,49.912,-6.302
Carnan Mor,Balephuil,56.453,-6.929
Carnforth,Leighton Moss,54.148,-2.784
Castle Down,Borough Farm (Tresco),49.959,-6.335
Castle Island,Wansbeck Estuary,55.163,-1.545
Castlehill,Thurso,58.419,-3.481
Castlerock,Downhill,55.168,-6.807
Cemlyn Bay,Rockabill,53.505,-5.257
Chapel Carn Brea,Carn Gloose,50.109,-5.68
Chapel Fields,Periglis,49.894,-6.349
Chapel Fields,Troy Town,49.892,-6.35
Chartham,Seaton,51.003,-1.032
Chelston Meadows,Portworthy Dam,50.403,-4.058
Chesil Beach,Portland,50.571,-2.467
Chew Valley Lake,Blagdon Lake,51.336,-2.66
Choseley,Docking,52.922,0.622
Church Hougham,Abbotscliffe,51.107,1.242
Clara Vale,Crawcrook,54.973,-1.791
Clevedon,Woodspring Bay,51.418,-2.892
Cley,Blakeney,52.957,1.032
Cley,Blakeney Point,52.968,1.022
Cley,Happisburgh,52.892,1.292
Cley,Kelling,52.953,1.084
Cley,Salthouse,52.956,1.072
Cley,Salthouse Heath,52.951,1.068
Cley,Weybourne,52.952,1.099
Cliffe,Higham Marshes,51.455,0.469
Clonakilty,Inchydoney,51.611,-8.872
Cobh,Ballybrannigan Strand,51.828,-8.213
Collieston,Kirton of Slains,57.35,-1.936
Content,Tresco (general),49.941,-6.316
Cooden,Normans Bay,50.831,0.412
Cooling Marshes,Northward Hill,51.464,0.547
Covehithe,Benacre,52.388,1.698
Covehithe,Southwold,52.35,1.692
Coward's Marsh,Stanpit Marsh,50.741,-1.774
Cresswell Pond,Druridge Bay,55.262,-1.563
Cresswell Pond,Hauxley,55.278,-1.555
Cromer,Sheringham,52.938,1.256
Cromwell's Castle,Great Pool,49.957,-6.34
Crossness,Barking,51.52,0.118
Crossness,Creekside,51.49,0.064
Crow Sound,Tresco (general),49.949,-6.311
Crowdy Reservoir,Davidstow Airfield,50.63,-4.619
Crowdy Reservoir,Siblyback Reservoir,50.566,-4.557
Crows-an-Wra,Bartinney Downs,50.097,-5.642
Curry Moor,Durleigh Reservoir,51.087,-2.991
Curry Moor,Hay Moor,51.04,-2.879
Cwm Eigiau,Foel Fras,53.182,-3.934
Dawlish Warren,Bowling Green Marsh,50.644,-3.447
Dawlish Warren,Turf End,50.636,-3.452
Deal Hall,Foulness,51.619,0.898
Derwent Reservoir,Pow Hill,54.864,-1.985
Dinas Dinlle,Foryd Bay,53.097,-4.328
Dingle Marshes,Minsmere,52.262,1.626
Ditchford Gravel Pits,Stanwick Gravel Pits,52.319,-0.61
Dodman Point,Pendower,50.214,-4.874
Donmouth,Murcar,57.192,-2.072
Doorus Pier,Nimmo's Pier,53.22,-9.008
Dorman's Pool,Saltholme,54.601,-1.219
Dornoch,Embo,57.893,-4.007
Dornock,Browhouses,54.979,-3.163
Drift Reservoir,Newlyn,50.107,-5.57
Dumbarton Castle,West Ferry,55.931,-4.56
Dump (St Mary's),Porthmellon,50.091,-5.549
Dundalk,Soldier's Point,54.011,-6.375
Dungeness,Rye,50.93,0.864
Dunkettle,Blackrock Castle,51.904,-8.212
Dunnet Bay,St John's Loch,58.625,-3.344
Dunster Beach,Bilbrook,51.179,-3.407
Durleigh Reservoir,Bridgwater Bay,51.164,-3.055
Durleigh Reservoir,Chew Valley Lake,51.228,-2.833
Durleigh Reservoir,Chilton Trinity Ponds,51.137,-3.025
Easkey,Carrowmacbrien,54.288,-8.997
East Chevington,Druridge Bay,55.282,-1.574
East Chevington,Newbiggin,55.236,-1.545
Easter Ellister,Loch Talant,55.688,-6.258
Easton Bavents,Southwold,52.335,1.684
Easton,Skinburness,54.906,-3.247
Eccles,Sea Palling,52.798,1.586
Ellough,Hulver,52.427,1.611
Elmley,Oare Marshes,51.364,0.843
Elmley,Swale,51.372,0.813
Eoligarry,Morghan,57.014,-7.424
Epney,Cotswold Water Park,51.727,-2.142
Evie,Orphir,59.018,-3.132
Exe Estuary,Bowling Green Marsh,55.65,-3.446
Exminster Marshes,Topsham,50.681,-3.471
Exmouth,Dawlish Warren,50.614,-3.427
Exnaboe,Sumburgh,55.381,-1.287
Exnaboe,Virkie,55.39,-1.296
Farne Islands,Hauxley,55.471,-1.591
Farne Islands,Long Nanny,55.585,-1.631
Felbrigg,Metton,52.899,1.266
Felbrigg,Northrepps,52.907,1.302
Felixstowe Ferry,Kingsfleet,51.991,1.376
Felixstowe Ferry,Kirton Creek,52.008,1.366
Fen Drayton,Berry Fen,52.322,-0.022
Fen Drayton,Ouse Washes,52.389,0.074
Ferrybridge,Abbotsbury,50.625,-2.535
Ferrybridge,Langton Herring,50.613,-2.51
Findhorn Bay,Burghead,57.678,-3.55
Frampton Marsh,Boston,52.953,0.004
Frampton Marsh,Freiston Shore,52.946,0.054
Frampton Marsh,Huttoft Bank,53.111,0.165
Frobost,North Boisdale,57.17,-7.387
Gannel Estuary,Cubert,50.393,-5.107
Garrygall,Craigston,56.971,-7.489
Gartbreck,Bruichladdich,55.753,-6.347
Gerinish,Drimsdale,57.332,-7.379
Girling Reservoir,Ponders End Lake,51.632,-0.029
Gleninagh Mountains,Cappanawalla Hill,53.126,-9.213
Glentig,Dunnackburn,55.092,-4.919
Gorleston,Great Yarmouth,52.589,1.734
Gort nag Capall,Kilmurvey,53.127,-9.745
Gott Bay,Clachan (Tiree),56.525,-6.852
Gott Bay,Vaul,56.53,-6.8
Gramsdale,Market Stance,57.469,-7.321
Graveney,Nagden Marshes,51.33,0.931
Great Blasket Island,Brandon Point,52.19,-10.351
Great Pool,Abbey Pool,49.949,-6.329
Great Pool,Airport,49.932,-6.311
Great Pool,Borough Farm (Tresco),49.953,-6.329
Great Pool,St Mary's (general),49.935,-6.316
Greatham Creek,Greenabella Marsh,54.625,-1.209
Greatham Creek,Reclamation Pond,54.613,-1.205
Greatham Creek,Seal Sands,54.622,-1.201
Green Island,Skirt Island,49.938,-6.332
Greenisland,Carrickfergus,54.839,-5.836
Grenitote,Vallay,57.658,-7.368
Grutness,Pool of Virkie,59.879,-1.286
Gugh Bar,St Mary's (general),49.907,-6.319
Gugh,Covean,49.893,-6.336
Gugh,St Agnes (general),49.893,-6.339
Hamford Water,Tollesbury,51.819,1.042
Haroldswick,Burrafirth,60.795,-0.856
Harry's Walls,Rocky Hill,49.918,-6.305
Hartlepool Headland,South Gare,54.665,-1.153
Hauxley,Seaton Sluice,55.199,-1.514
Hayle,Godrevy,50.211,-5.409
Hayle,St Gothian Sands,50.208,-5.406
Hayle,St Ives,50.198,-5.457
Hayling Island,Chichester Harbour,50.808,-0.928
Heliport,Dump (Tresco),49.951,-6.331
Helston,Porthleven,50.093,-5.296
Hermaness,Scapa Flow,59.885,-1.961
Hermaness,South of Lerwick,60.448,-1.007
Herne Bay,Seasalter,51.36,1.061
Hickling,Breydon Water,52.67,1.639
Hickling,Potter Heigham Marshes,52.725,1.594
Higher Moors,Holy Vale,49.922,-6.291
Higher Town (St Martin's),Porthloo,49.942,-6.296
Hill of Rattar,St John's Loch,58.636,-3.317
Hillwell,Brake,59.912,-1.333
Hillwell,Spiggie,59.927,-1.338
Hoath,East Blean,51.335,1.149
Holkham,Wells,52.965,0.82
Holme,Old Hunstanton,52.961,0.522
Holme,Titchwell,52.968,0.574
Holme Pierrepont,Hoveringham,52.981,-1.024
Hope's Nose,Teignmouth,50.505,-3.489
Horsey,Winterton,52.732,1.669
Hough Bay,Sorobaidh Bay,56.493,-6.934
Housel Bay,Loe Pool,50.02,-5.243
Hoylake,Hilbre Island,53.386,-3.205
Hugh Town,Trenoweth,49.925,-6.303
Hugh Town,Tresco Channel,49.935,-6.328
Hull,Barton-upon-Humber,53.723,-0.385
Hunstanton,Heacham,52.925,0.481
Hythe,Saltwood,51.074,1.078
Icklesham,Pett Level,50.903,0.677
Iken,Snape,52.161,1.507
Incleborough Hill,Dersingham,52.884,0.865
