,0,1
Set 1,54.973,-1.24
Set 2,49.948,-6.343
Set 3,50.653,-2.603
Set 4,54.329,-8.65
Set 5,49.937,-6.317
Set 6,49.93,-6.327
Set 7,49.914,-6.291
Set 8,51.637,0.77
Set 9,53.656,-1.351
Set 10,54.903,-3.221
Set 11,57.515,-7.405
Set 12,55.636,-4.777
Set 13,57.331,-7.424
Set 14,52.777,1.592
Set 15,56.518,-6.893
Set 16,57.342,-7.438
Set 17,53.618,0.139
Set 18,52.6,-9.678
Set 19,55.994,-3.031
Set 20,56.987,-4.024
Set 21,52.281,1.638
Set 22,49.912,-6.305
Set 23,55.147,-1.495
Set 24,51.787,0.879
Set 25,51.253,-2.76
Set 26,52.917,1.276
Set 27,54.984,-1.593
Set 28,50.268,-3.682
Set 29,50.675,-2.847
Set 30,50.629,-3.44
Set 31,52.955,0.991
Set 32,52.897,0.568
Set 33,60.157,-1.178
Set 34,52.591,1.655
Set 35,52.621,1.571
Set 36,49.948,-6.335
Set 37,49.926,-6.33
Set 38,60.814,-0.818
Set 39,50.539,-4.913
Set 40,54.432,-3.585
Set 41,59.989,-1.288
Set 42,51.292,-2.772
Set 43,51.673,-0.016
Set 44,52.957,0.987
Set 45,52.945,1.193
Set 46,52.951,1.035
Set 47,52.955,1.043
Set 48,52.966,1.033
Set 49,52.96,0.881
Set 50,55.688,-1.841
Set 51,51.463,-9.753
Set 52,51.415,-0.592
Set 53,55.512,-1.462
Set 54,50.755,-2.043
Set 55,49.93,-6.32
Set 56,55.2,-1.596
Set 57,52.92,-4.165
Set 58,52.95,1.095
Set 59,52.69,-1.721
Set 60,51.081,-2.985
Set 61,50.526,-3.493
Set 62,54.612,-1.217
Set 63,50.136,-5.488
Set 64,52.217,-6.643
Set 65,53.03,-4.022
Set 66,55.276,-1.567
Set 67,55.266,-1.562
Set 68,50.263,-4.934
Set 69,50.217,-5.102
Set 70,51.797,0.956
Set 71,52.894,0.729
Set 72,51.359,0.867
Set 73,50.662,-3.472
Set 74,59.939,-1.302
Set 75,50.804,-1.063
Set 76,56.979,-1.976
Set 77,54.873,-1.27
Set 78,54.688,-1.191
Set 79,54.818,-1.255
Set 80,54.831,-1.288
Set 81,55.214,-1.482
Set 82,54.586,-0.822
Set 83,54.144,-0.188
Set 84,51.073,-4.151
Set 85,49.914,-6.305
Set 86,52.792,0.923
Set 87,56.96,-7.459
Set 88,50.816,-1.274
Set 89,53.481,0.093
Set 90,49.943,-6.328
Set 91,54.624,-1.201
Set 92,54.615,-1.202
Set 93,51.151,-2.845
Set 94,53.667,0.088
Set 95,53.339,-3.381
Set 96,59.904,-1.284
Set 97,52.897,1.38
Set 98,52.249,1.601
Set 99,59.888,-1.309
Set 100,52.694,1.617
Set 101,52.646,1.527
Set 102,59.909,-1.313
Set 104,52.962,0.731
Set 105,52.961,0.903
Set 106,52.871,0.914
Set 107,53.047,0.243
Set 108,52.972,0.615
Set 109,55.639,-1.79
Set 110,52.756,1.627
Set 111,60.595,-0.813
Set 112,55.504,-3.623
Set 113,53.745,-2.876
Set 114,50.931,-1.851
Set 115,55.968,-2.631
Set 116,52.947,1.127
Set 117,52.961,0.722
Set 118,51.482,-3.695
Set 119,52.24,1.632
Set 120,55.809,-6.405
Set 121,53.062,-6.058
Set 122,56.505,-6.96
Set 123,51.455,-0.498
Set 124,53.188,-8.961
Set 125,53.226,-9.026
Set 126,49.998,-5.198
Set 127,50.773,-1.274
Set 128,60.149,-1.148
Set 129,52.072,0.937
Set 130,50.812,-0.885
Set 131,56.505,-6.861
Set 132,57.365,-7.382
Set 133,59.92,-1.335
Set 134,57.184,-2.538
Set 135,50.658,-2.41
Set 136,50.669,-2.099
Set 137,51.912,-8.055
Set 138,49.943,-6.338
Set 139,49.92,-6.296
Set 140,49.929,-6.306
Set 141,52.412,1.72
Set 142,52.466,1.708
Set 143,52.243,1.642
Set 144,52.53,0.678
Set 145,58.265,-6.837
Set 146,50.104,-5.584
Set 147,50.151,-5.476
Set 148,54.997,-1.415
Set 149,53.729,-2.949
Set 150,55.423,-4.588
Set 151,49.929,-6.291
Set 152,60.805,-0.814
Set 153,52.285,1.655
Set 154,52.884,1.413
Set 155,50.062,-5.69
Set 156,59.036,-3.132
Set 157,53.144,-2.583
Set 158,57.749,-2.696
Set 159,53.244,-9.031
Set 160,53.181,-8.986
Set 161,57.149,-7.373
Set 162,51.51,-3.733
Set 163,51.795,0.959
Set 164,49.914,-6.308
Set 165,49.925,-6.289
Set 166,50.619,-3.394
Set 167,49.942,-6.335
Set 168,51.704,-4.952
Set 169,49.911,-6.305
Set 170,49.941,-6.325
Set 171,51.571,-4.198
Set 172,50.924,0.76
Set 173,52.364,-0.854
Set 174,50.349,-4.2
Set 175,49.942,-6.341
Set 176,49.926,-6.296
Set 177,49.943,-6.292
Set 178,49.923,-6.291
Set 179,49.934,-6.316
Set 180,49.915,-6.329
Set 181,49.892,-6.318
Set 182,49.905,-6.328
Set 183,49.932,-6.295
Set 184,50.639,-2.407
Set 185,50.719,-2.511
Set 186,54.345,-8.649
Set 187,50.11,-5.595
Set 188,51.906,-7.904
Set 189,53.503,-6.111
Set 190,56.528,-6.839
Set 191,54.626,-1.172
Set 192,49.944,-6.334
Set 193,56.476,-6.961
Set 194,59.906,-1.32
Set 195,54.305,-0.364
Set 196,52.961,0.557
Set 197,53.522,-3.018
Set 198,50.758,-0.018
Set 199,50.107,-5.56
Set 200,52.954,1.101
Set 201,58.452,-6.351
Set 202,52.822,0.502
Set 203,50.759,-1.758
Set 204,53.164,-0.67
Set 205,53.632,0.132
Set 206,53.634,0.129
Set 207,49.942,-6.283
Set 208,49.92,-6.312
Set 209,50.147,-5.635
Set 210,49.919,-6.34
Set 211,52.95,1.068
Set 212,52.956,0.999
