,discovery,lat,long,labels
0,54,51.177,-4.668,4
1,100,52.616,-6.426,4
2,132,52.255,-9.736,0
3,268,58.958,-2.905,2
4,67,51.177,-4.668,4
5,109,49.893,-6.339,4
6,109,49.893,-6.339,4
7,149,51.769,-10.661,0
8,136,50.67,-1.975,1
9,139,50.701,-1.92,1
10,164,51.417,-0.591,1
11,253,54.984,-4.079,2
12,71,60.139,-2.077,3
13,135,57.815,-8.58,0
14,46,49.893,-6.348,4
15,137,51.75,-9.552,0
16,65,58.561,-3.779,3
17,103,51.83,-10.175,0
18,136,54.46,-5.833,0
19,63,60.139,-2.077,3
20,74,51.177,-4.668,4
21,280,53.343,-7.052,2
22,41,51.089,-0.716,1
23,114,56.844,-2.28,3
24,55,49.893,-6.336,4
25,71,52.758,-4.789,4
26,104,50.235,-5.393,4
27,122,53.578,-0.108,1
29,245,57.166,-3.696,2
30,247,57.249,-3.753,2
31,39,49.95,-6.325,4
32,126,53.848,-1.833,1
33,70,50.677,-3.477,4
34,58,49.95,-6.325,4
35,77,57.248,-7.362,0
36,55,51.177,-4.668,4
37,160,50.77,0.289,1
