site,area,recording_area,lat,long,offshore,region,subregion
1 mile S of Galley Head,,County Cork,51.518,-8.954,1,Ireland,Republic of Ireland
1.5km S of Bishop Rock,,At sea,49.859,-6.445,1,,
1.5km S of St Mary's,,Isles of Scilly,49.889,-6.304,1,England,South West
1.5km S of The Lizard,,Cornwall,49.946,-5.207,1,England,South West
100nm S of Fastnet Rock,,At sea,49.723,-9.604,1,,
101km W of Slea Head,,At sea,52.000,-11.920,1,,
105 miles west of Fastnet Rock,,At sea,51.364,-12.039,1,,
10km east of Wick,,At sea,58.441,-2.910,1,,
10km off Shoreham-by-Sea,,At sea,50.735,-0.248,1,,
10km S of St Mary's,,At sea,49.830,-6.250,1,,
10km SE of St Mary's,,At sea,49.859,-6.177,1,,
10km W of Corsewall Point,,At sea,55.007,-5.316,1,,
11nm SSE of Galley Head,,At sea,51.363,-8.842,1,,
12 miles off Wexford,,At sea,52.339,-6.174,1,,
12 miles SE of Start Point,,At sea,50.100,-3.454,1,,
12.6km N of Portknockie,,At sea,57.820,-2.830,1,,
120km off Duncansby Head,,At sea,59.412,-1.533,1,,
120km W of Blasket Islands,,At sea,52.062,-12.418,1,,
121nm NW of Outer Hebrides,,At sea,59.638,-9.848,1,,
12km S of St Mary's,,At sea,49.820,-6.180,1,,
130 miles N of Unst,,At sea,62.680,-1.570,1,,
130km WNW of Unst,,At sea,60.950,-3.080,1,,
13km E of St Mary's,,At sea,49.922,-6.095,1,,
13km SE of Scilly,,At sea,49.834,-6.151,1,,
145km E of Aberdeen,,At sea,57.670,0.330,1,,
149 miles west of Valentia Island,,At sea,51.831,-13.923,1,,
150 miles WSW of Ireland,,At sea,51.067,-13.083,1,,
16 miles S of Baltimore,,At sea,51.238,-9.371,1,,
160nm SW of Mizen Head,,At sea,49.531,-12.714,1,,
16km NE of St Mary's,,At sea,50.024,-6.119,1,,
16km SW of Looe,,At sea,50.249,-4.610,1,,
16km W of St Mary's,,At sea,49.913,-6.551,1,,
"170nm WNW of Slea Head, County Kerry",,At sea,53.103,-14.814,1,,
"17km south of St Mary's, Scilly",,At sea,49.750,-6.304,1,,
"186nm WNW of Baleshare, North Uist",,At sea,57.720,-12.400,1,,
18km NE of Scilly,,At sea,50.093,-6.113,1,,
19km NE of Eyemouth,,At sea,55.995,-1.872,1,,
19km NE of Eyemouth/Bass Rock,,At sea,56.038,-2.139,1,,
2.4km S of Portland,,Dorset,50.493,-2.456,1,England,South West
200km NE of Aberdeen,,At sea,58.394,0.368,1,,
210km NW of Sybil Point,,At sea,52.670,-13.500,1,,
2km S of St Mary's,,Isles of Scilly,49.886,-6.304,1,England,South West
2km south of Furbogh,,County Galway,53.230,-9.205,1,Ireland,Republic of Ireland
3 miles S of St Mary's,,At sea,49.860,-6.303,1,,
3.2km SW of Bishop Rock,,Isles of Scilly,49.853,-6.477,1,England,South West
30.2km SSE of Seven Heads,,At sea,51.320,-8.550,1,,
32km SSE of Scilly,,At sea,49.630,-6.130,1,,
3km S of Bishop Rock,,At sea,49.846,-6.445,1,,
3km SW of Bishop Rock/2km S of St Mary's,,Isles of Scilly,49.870,-6.391,1,England,South West
3km SW of Cape Clear Island,,County Cork,51.403,-9.551,1,Ireland,Republic of Ireland
4.8km off Rosslare,,At sea,52.257,-6.266,1,,
40 miles WSW of Mizen Head,,At sea,51.041,-10.462,1,,
40km NW of Cape Cornwall,,At sea,50.382,-6.107,1,,
40km NW of Cape Cornwall,,At sea,50.383,-6.108,1,,
45km ENE of Happisburgh,,At sea,53.100,2.200,1,,
5.5km NE of St Mary's,,At sea,49.957,-6.223,1,,
50km east of Lybister,,At sea,58.295,-2.428,1,,
50km NE of Cromer,,At sea,53.320,2.620,1,,
50km S of Bridport,,At sea,50.260,-2.764,1,,
50km S of Portland Bill,,At sea,50.063,-2.457,1,,
50km SW of Shannon Estuary,,At sea,52.398,-10.364,1,,
54km SE of Newhaven,,At sea,50.437,0.597,1,,
56km SW of Aranmore Island,,At sea,54.619,-9.182,1,,
5km S of St Agnes,,At sea,49.837,-6.341,1,,
5km SW of Bishop Rock,,At sea,49.841,-6.495,1,,
"6 miles S of St Mary's, Scilly",,At sea,49.795,-6.341,1,,
6 miles SE of St Mary's,,At sea,49.861,-6.182,1,,
6.5km E of Scilly,,At sea,49.922,-6.186,1,,
60km S of Plymouth,,At sea,49.823,-4.152,1,,
65km W of Outer Hebrides,,At sea,57.598,-8.639,1,,
680 nautical miles east of Newfoundland,,At sea,48.335,-10.959,1,,
6km NW of Slyne Head,,At sea,53.451,-10.248,1,,
6km off Strumble Head,,At sea,52.084,-5.069,1,,
6km S of St Mary's,,At sea,49.849,-6.304,1,,
70km west of Shetland,,At sea,60.292,-2.966,1,,
73 miles SW of Cape Clear Island,,At sea,50.675,-10.706,1,,
75 miles SSW of Cape Clear,,At sea,50.417,-10.170,1,,
83km W of Ramna Stacks,,At sea,60.666,-2.841,1,,
"86 miles ENE of Norwick, Unst",,At sea,61.050,1.720,1,,
8km NE of St Mary's,,At sea,49.973,-6.198,1,,
8km S of Bembridge,,At sea,50.613,-1.069,1,,
8nm off Galley Head,,At sea,51.358,-9.962,1,,
96km SW of Scilly,,At sea,49.130,-6.900,1,,
9km off St Abb's Head,,At sea,55.982,-2.058,1,,
9km off St Abb's Head/Bass Rock/Hornsea Mere,,Lothian,54.973,-1.240,1,Scotland,South East Scotland
A'bhuidheanach Bheag,,Highland,56.871,-4.198,,Scotland,Scottish Highlands
Abberton Reservoir,,Essex,51.830,0.870,,England,East Anglia
Abberton Reservoir/Ardleigh Reservoir,,Essex,51.873,0.913,,England,East Anglia
Abbey Gardens,Tresco,Isles of Scilly,49.946,-6.333,1,England,South West
Abbey Pool,Tresco,Isles of Scilly,49.946,-6.327,1,England,South West
Abbey Pool/Great Pool,Tresco,Isles of Scilly,49.949,-6.329,1,England,South West
Abbey Pool/Great Pool/Great Porth,Various islands,Isles of Scilly,49.948,-6.343,1,England,South West
Abbey Pool/Pentle Bay,Tresco,Isles of Scilly,49.948,6.324,1,England,South West
Abbey Pool/South Beach,Tresco,Isles of Scilly,49.946,-6.326,1,England,South West
Abbey Road,Tresco,Isles of Scilly,49.949,-6.333,1,England,South West
Abbey Wood,Tresco,Isles of Scilly,49.948,-6.333,1,England,South West
Abbotsbury,,Dorset,50.664,-2.599,,England,South West
Abbotsbury/Burton Bradstock/The Fleet,,Dorset,50.653,-2.603,,England,South West
Abbotsbury/West Bexington,,Dorset,50.671,-2.632,,England,South West
Abbotscliffe,,Kent,51.100,1.230,,England,South East
Abbotts Hall Farm,,Essex,51.795,0.846,,England,East Anglia
Aber Ogwen,,Caernarfonshire,53.228,-4.079,,Wales,North Wales
Aberaeron,,Ceredigion,52.239,-4.259,,Wales,South Wales
Aberavon,,Gower,51.610,-3.846,,Wales,South Wales
Aberavon/Southgate,,Gower,51.590,-3.968,,Wales,South Wales
