id,species,order,group,realm
ACADF,Acadian Flycatcher,Passerine,Landbird,Nearctic
ALDRF,Alder Flycatcher,Passerine,Landbird,Nearctic
ALEUT,Aleutian Tern,Non-Passerine,Waterbird,Pacific
ALLGA,Allen's Gallinule,Non-Passerine,Waterbird,Afro-Tropical
ALACC,Alpine Accentor,Passerine,Landbird,Mediterranean
AMBIT,American Bittern,Non-Passerine,Waterbird,Nearctic
BLKDK,American Black Duck,Non-Passerine,Wildfowl,Nearctic
AMBLT,American Black Tern,Non-Passerine,Waterbird,Nearctic
BBPIP,American Buff-bellied Pipit,Passerine,Landbird,Nearctic
ACOOT,American Coot,Non-Passerine,Waterbird,Nearctic
AMHGL,American Herring Gull,Non-Passerine,Waterbird,Nearctic
AMKES,American Kestrel,Non-Passerine,Landbird,Nearctic
AMPGA,American Purple Gallinule,Non-Passerine,Waterbird,Nearctic
AMRED,American Redstart,Passerine,Landbird,Nearctic
AMROB,American Robin,Passerine,Landbird,Nearctic
AMRYL,American Royal Tern,Non-Passerine,Waterbird,Nearctic
AMWWS,American White-winged Scoter,Non-Passerine,Wildfowl,Nearctic
AMYLW,American Yellow Warbler,Passerine,Landbird,Nearctic
AMURF,Amur Falcon,Non-Passerine,Landbird,Oriental
AMWAG,Amur Wagtail,Passerine,Landbird,Oriental
ANMUR,Ancient Murrelet,Non-Passerine,Seabird,Pacific
ASCFR,Ascension Frigatebird,Non-Passerine,Seabird,Afro-Tropical
AHWAG,Ashy-headed Wagtail,Passerine,Landbird,Mediterranean
BRFLY,Asian Brown Flycatcher,Passerine,Landbird,Oriental
ASDSW,Asian Desert Warbler,Passerine,Landbird,Levant
ASRRS,Asian Red-rumped Swallow,Passerine,Landbird,Oriental
YNALB,Atlantic Yellow-nosed Albatross,Non-Passerine,Seabird,Afro-Tropical
AUDGL,Audouin's Gull,Non-Passerine,Waterbird,Mediterranean
AZYLG,Azorean Yellow-legged Gull,Non-Passerine,Waterbird,Afro-Tropical
BAIKT,Baikal Teal,Non-Passerine,Wildfowl,Oriental
BACRK,Baillon's Crake,Non-Passerine,Waterbird,European
BRDSP,Baird's Sandpiper,Non-Passerine,Waterbird,Nearctic
BEAGL,Bald Eagle,Non-Passerine,Landbird,Nearctic
BWSHR,Balearic Woodchat Shrike,Passerine,Landbird,Mediterranean
BORIO,Baltimore Oriole,Passerine,Landbird,Nearctic
BNDRP,Band-rumped storm petrel sp.,Non-Passerine,Seabird,Afro-Tropical
BARLO,Barolo Shearwater,Non-Passerine,Seabird,Afro-Tropical
BRWGE,Barrow's Goldeneye,Non-Passerine,Wildfowl,Nearctic
BAYBW,Bay-breasted Warbler,Passerine,Landbird,Nearctic
BKNGF,Belted Kingfisher,Non-Passerine,Landbird,Nearctic
CAHOW,Bermuda Petrel,Non-Passerine,Seabird,Afro-Tropical
